Comment,Designator,Footprint
0.1uF,"C1,C2,C3,C4,C5,C6,C7,C8,C9",C0402
100k,"R1,R4,R6,R9,R11,R14,R16,R19,R21,R24,R26,R29",R0402
10k,"R2,R3,R7,R8,R12,R13,R17,R18,R22,R23,R27,R28",R0402
1M,"R5,R10,R15,R20,R25,R30",R0402
QUAD_OPAMPD,"IC1,IC2,IC3",SO14
