Comment,Designator,Footprint
0.1uF,"C1, C2, C3, C4, C5, C6, C7, C8, C9",C0402
10k,R4,R0402
49.9k,"R1, R2, R3",R0402
INA826AIDR,"U2, U3, U4",SOIC127P599X175-8N
REF2033AIDDCT,U1,SOT95P280X110-5N
52745-0690,X1,52745-0690
