Designator,Mid X,Mid Y,Layer,Rotation
C1,7.62,4.45,Top,90
C2,12.7,4.45,Top,90
C3,10.16,7.75,Top,180
C4,14.61,14.73,Top,180
C5,17.02,10.16,Top,270
C6,27.3,14.73,Top,180
C7,29.72,10.16,Top,270
C8,40.01,14.73,Top,180
C9,42.42,10.16,Top,270
R1,8.26,11.43,Top,90
R2,20.96,11.43,Top,90
R3,33.66,11.43,Top,90
R4,6.99,9.53,Top,270
U1,10.16,5.08,Top,270
U2,12.7,11.43,Top,0
U3,25.4,11.43,Top,0
U4,38.1,11.43,Top,0
X1,47.03,11.43,Top,90
